"from_stop_id","to_stop_id","transfer_type","min_transfer_time","from_route_id","to_route_id","from_trip_id","to_trip_id"
000000060904,000000060030,2,300,,,,
000000060950,000000060005,2,180,,,,
000000060951,000000060010,2,120,,,,
000000060952,000000060018,2,180,,,,
000000061008,000000061904,2,120,,,,
000000061024,000000061901,2,180,,,,
000000061024,090000619002,2,120,,,,
000000061024,090000619003,2,180,,,,
000000061901,000000061024,2,180,,,,
000000061904,000000061008,2,120,,,,
000000061950,000000010030,2,180,,,,
000000062028,000008006197G,2,180,,,,
000000063005,000000063902,2,120,,,,
000000063005,090000639004,2,120,,,,
000000063005,090000639005,2,120,,,,
000000063005,090000639006,2,120,,,,
000000063005,090000639007,2,120,,,,
000000063010,000000063077,2,120,,,,
000000063034,000000063900,2,120,,,,
000000063900,000000063034,2,120,,,,
000000063902,000000063005,2,120,,,,
000000065001,000000071905,2,120,,,,
000000065001,090000719010,2,120,,,,
000000065001,090000719011,2,120,,,,
000000065005,000000065003,2,240,,,,
000000065005,000008002558G,2,180,,,,
000000065016,000000065031,2,120,,,,
000000065026,000000065900,2,240,,,,
000000065026,000000065037,2,180,,,,
000000065026,090000659000,2,240,,,,
000000065026,090000659001,2,240,,,,
000000065031,000000065016,2,120,,,,
000000065900,000000065026,2,240,,,,
000000065900,000000065037,2,120,,,,
000000070008,090000909012,2,360,,,,
000000070008,090000909013,2,360,,,,
000000070010,000000070009,2,540,,,,
000000070011,000000070905,2,120,,,,
000000070011,090000709010,2,120,,,,
000000070011,090000709011,2,120,,,,
000000070012,000000090906,2,540,,,,
000000070013,000000090903,2,360,,,,
000000070013,090000909006,2,360,,,,
000000070013,090000909007,2,360,,,,
000000070019,000000070952,2,180,,,,
000000070019,000000709104,2,180,,,,
000000070019,000000709105,2,180,,,,
000000070028,000000070950,2,120,,,,
000000070028,000009709014,2,120,,,,
000000070029,000000070906,2,300,,,,
000000070029,090000709012,2,300,,,,
000000070029,090000709013,2,300,,,,
000000070037,000000070904,2,120,,,,
000000070039,000000070903,2,120,,,,
000000070039,090000709006,2,120,,,,
000000070039,090000709007,2,120,,,,
000000070042,000000070902,2,120,,,,
000000070042,090000709004,2,120,,,,
000000070042,090000709005,2,120,,,,
000000070046,090000709000,2,240,,,,
000000070046,090000709001,2,240,,,,
000000070069,000000070904,2,420,,,,
000000070073,000000070951,2,240,,,,
000000070073,000000709102,2,240,,,,
000000070073,000000709103,2,240,,,,
000000070900,000000019015,2,240,,,,
000000070902,000000070042,2,120,,,,
000000070903,000000070039,2,120,,,,
000000070904,000000070037,2,120,,,,
000000070904,000000070069,2,420,,,,
000000070905,000000070011,2,120,,,,
000000070906,000000070029,2,300,,,,
000000070950,000000070028,2,120,,,,
000000070951,000000070073,2,240,,,,
000000070952,000000070019,2,180,,,,
000000070952,000000700163G,2,120,,,,
000000071002,000000071904,2,120,,,,
000000071002,090000719009,2,120,,,,
000000071002,090000719008,2,120,,,,
000000071009,000000071907,2,120,,,,
000000071009,090000719014,2,120,,,,
000000071009,090000719015,2,120,,,,
000000071025,000000071953,2,180,,,,
000000071025,000000071117,2,180,,,,
000000071043,000000071901,2,120,,,,
000000071059,000000090950,2,300,,,,
000000071108,000000071952,2,120,,,,
000000071108,000000719104,2,120,,,,
000000071108,000000719105,2,120,,,,
000000071900,000000092040,2,600,,,,
000000071900,000000092037,2,120,,,,
000000071901,000000071043,2,120,,,,
000000071904,000000071002,2,120,,,,
000000071905,000000065001,2,120,,,,
000000071907,000000071009,2,120,,,,
000000071952,000000071108,2,120,,,,
000000071953,000000071025,2,180,,,,
000000071953,000000071117,2,120,,,,
000000072005,000000072901,2,120,,,,
000000072005,090000729004,2,120,,,,
000000072005,090000729005,2,120,,,,
000000072052,000000072900,2,120,,,,
000000072900,000000072052,2,120,,,,
000000072901,000000072005,2,120,,,,
000000080005,000000080981,2,120,,,,
000000080011,000000052982,2,120,,,,
000000080017,000000080900,2,120,,,,
000000080017,090000809000,2,120,,,,
000000080017,090000809001,2,120,,,,
000000080019,000000080951,2,180,,,,
000000080019,000000809102,2,180,,,,
000000080019,000000809103,2,180,,,,
000000080020,000000080950,2,120,,,,
000000080020,000000080982,2,120,,,,
000000080020,000000080983,2,120,,,,
000000080020,000000080984,2,120,,,,
000000080020,000000809100,2,180,,,,
000000080020,000000809101,2,180,,,,
000000080108,000000080952,2,660,,,,
000000080026,000000080953,2,360,,,,
000000080026,000008002553G,2,420,,,,
000000080029,000000080951,2,540,,,,
000000080036,000000080951,2,720,,,,
000000080049,000000080956,2,120,,,,
000000080049,000000809116,2,120,,,,
000000080049,000000809117,2,120,,,,
000000080051,000000080955,2,120,,,,
000000080051,000000809114,2,120,,,,
000000080051,000000809115,2,120,,,,
000000080057,000000080989,2,180,,,,
000000080062,000000080958,2,180,,,,
000000080062,000000809120,2,180,,,,
000000080062,000000809121,2,180,,,,
000000080069,000000080954,2,120,,,,
000000080069,000000809112,2,120,,,,
000000080069,000000809113,2,120,,,,
000000080082,000000080957,2,120,,,,
000000080082,000000809118,2,120,,,,
000000080082,000000809119,2,120,,,,
000000080093,000000080958,2,180,,,,
000000080093,000000809120,2,180,,,,
000000080093,000000809121,2,180,,,,
000000080099,000000080900,2,300,,,,
000000080102,000000080951,2,540,,,,
000000080900,000000080017,2,120,,,,
000000080900,000000080099,2,300,,,,
000000080950,000000080020,2,120,,,,
000000080950,000000080982,2,240,,,,
000000080950,000000080983,2,240,,,,
000000080950,000000080984,2,240,,,,
000000080951,000000080019,2,180,,,,
000000080953,000000080026,2,360,,,,
000000080953,000008002553G,2,420,,,,
000000080954,000000080069,2,120,,,,
000000080955,000000080051,2,120,,,,
000000080956,000000080049,2,120,,,,
000000080957,000000080082,2,120,,,,
000000080958,000000080062,2,180,,,,
000000080958,000000080093,2,180,,,,
000000080980,000000080059,2,240,,,,
000000080981,000000080005,2,120,,,,
000000080982,000000080020,2,120,,,,
000000080982,000000080950,2,240,,,,
000000080983,000000080020,2,120,,,,
000000080983,000000080950,2,240,,,,
000000080984,000000080020,2,120,,,,
000000080984,000000080950,2,240,,,,
000000081023,000000081951,2,120,,,,
000000081023,000000819102,2,120,,,,
000000081023,000000819103,2,120,,,,
000000081043,000000081952,2,180,,,,
000000081045,000000081010,2,480,,,,
000000081046,000000081953,2,240,,,,
000000081046,000000819106,2,240,,,,
000000081046,000000819107,2,240,,,,
000000081054,000000081980,2,300,,,,
000000081066,000000081950,2,240,,,,
000000081066,000000819100,2,240,,,,
000000081066,000000819101,2,240,,,,
000000081068,000000081003,2,720,,,,
000000081069,000000081003,2,660,,,,
000000081950,000000081066,2,240,,,,
000000081951,000000081023,2,120,,,,
000000081952,000000081043,2,180,,,,
000000081953,000000081046,2,240,,,,
000000081980,000000081054,2,300,,,,
000000082011,000000082950,2,180,,,,
000000082011,000000829100,2,180,,,,
